median velocity,median direction,direction dispersion,is wave,#contours,mass center,is steady
15.969,301.874,0.297,False,328,"(49.01, 37.52)",False
12.797,304.483,0.287,False,344,"(51.14, 42.42)",False
12.667,308.328,0.412,False,344,"(50.24, 40.46)",False
12.445,300.182,0.505,False,373,"(51.39, 37.89)",False
11.144,310.682,0.387,False,401,"(54.01, 36.2)",False
11.75,317.177,0.395,False,457,"(52.97, 34.24)",False
8.561,305.572,0.549,False,491,"(53.66, 34.86)",False
11.309,292.265,0.625,False,509,"(56.19, 33.6)",False
8.504,279.305,0.739,False,489,"(56.84, 29.56)",False
9.726,288.328,0.685,False,545,"(56.18, 29.78)",False
7.611,284.355,0.493,False,508,"(56.96, 31.31)",False
6.187,272.433,0.702,False,516,"(57.37, 29.99)",False
5.258,259.541,0.703,False,459,"(59.43, 29.22)",False
5.393,252.983,0.93,True,457,"(58.35, 29.98)",False
6.311,259.79,0.83,True,382,"(57.91, 31.11)",False
4.498,261.721,0.545,True,363,"(58.24, 28.76)",False
5.378,268.072,0.488,True,373,"(57.96, 27.72)",False
6.137,290.186,0.45,True,351,"(57.68, 27.46)",False
5.851,288.098,0.322,True,355,"(60.21, 28.84)",False
6.466,286.856,0.281,True,338,"(61.16, 31.37)",False
5.916,286.923,0.383,True,301,"(58.88, 29.33)",False
6.198,273.665,0.298,False,279,"(55.16, 26.63)",False
4.995,268.866,0.45,False,209,"(56.01, 28.09)",False
6.817,276.676,0.41,False,224,"(57.57, 27.74)",False
4.342,269.079,0.407,False,162,"(55.86, 25.23)",False
5.07,277.563,0.525,False,163,"(55.77, 28.24)",False
4.947,275.77,0.467,False,139,"(59.05, 26.75)",False
3.848,274.996,0.488,False,163,"(56.78, 27.32)",False
5.741,270.997,0.63,False,115,"(55.47, 23.49)",False
3.253,275.943,0.574,False,132,"(55.74, 24.23)",False
4.378,274.028,0.541,False,102,"(58.98, 24.17)",False
4.244,276.821,0.589,False,117,"(55.31, 29.33)",False
4.864,270.451,0.696,False,112,"(54.87, 27.96)",False
6.288,274.82,0.317,False,101,"(53.95, 27.07)",False
9.735,269.421,0.595,False,73,"(55.54, 27.37)",False
6.608,273.347,0.528,False,101,"(55.29, 28.72)",False
8.864,281.746,0.348,False,91,"(54.81, 27.12)",False
